,Filename,Flowrate,SaPerm,MgPerm,MajorAnisotropy,MinAnisotropy,MagnesitePercentageInitial,SandPercentageInitial,MagnesitePercentageInitial.1,SandPercentageInitial.1,Porosity,OveralRate(mol/L/s),OveralRate(mol/s),AveragePorosity,pH,poriosity_change,kratio
2921,5050mg/50&20@1,5,1.00E-13,1.00E-12,50,20,0.5,0.5,0.552075,0.447925,0.35,-3.18E-08,-4.45E-09,35.0017373,6,0.0017373,1.00E+01
2377,55/20&10@1,5,1.00E-12,1.00E-13,20,10,0.5,0.5,0.512525,0.487475,0.35,-4.10E-08,-5.74E-09,35.0022066,4,0.0022066,1.00E-01
1638,60%40%/100&1@10,5,1.00E-13,1.00E-13,100,1,0.4,0.6,0.359925,0.640075,0.35,-3.26E-08,-4.56E-09,35.0015539,8,0.0015539,1.00E+00
2477,73/50&20@2,5,1.00E-12,1.00E-13,50,20,0.3,0.7,0.2768,0.7232,0.35,-3.95E-08,-5.53E-09,35.0020378,4,0.0020378,1.00E-01
1012,6040/50&10@7,5,1.00E-13,1.00E-12,50,10,0.4,0.6,0.4032,0.5968,0.35,-3.17E-08,-4.44E-09,35.0015707,8,0.0015707,1.00E+01
2127,90%10%/20&1@1,5,1.00E-13,1.00E-13,20,1,0.1,0.9,0.100725,0.899275,0.35,-3.19E-08,-4.47E-09,35.0014923,8,0.0014923,1.00E+00
1717,60%40%/50&20@1,5,1.00E-13,1.00E-13,50,20,0.4,0.6,0.4596,0.5404,0.35,-3.39E-08,-4.75E-09,35.0015439,8,0.0015439,1.00E+00
3100,73/100&100@5,5,1.00E-12,1.00E-13,100,100,0.3,0.7,0.232475,0.767525,0.35,-1.55E-08,-2.18E-09,35.000821,6,0.000821,1.00E-01
937,6040/100&10@2,5,1.00E-13,1.00E-12,100,10,0.4,0.6,0.40215,0.59785,0.35,-3.17E-08,-4.44E-09,35.0015617,8,0.0015617,1.00E+01
834,5050/20&10@7,5,1.00E-13,1.00E-12,20,10,0.5,0.5,0.483825,0.516175,0.35,-3.18E-08,-4.45E-09,35.0015755,8,0.0015755,1.00E+01
2797,91same/10&1@2,5,1.00E-13,1.00E-13,10,1,0.1,0.9,0.104975,0.895025,0.35,-4.15E-08,-5.81E-09,35.0019499,4,0.0019499,1.00E+00
2938,5050same/10&10@3,5,1.00E-13,1.00E-13,10,10,0.5,0.5,0.511625,0.488375,0.35,-3.44E-08,-4.82E-09,35.0017451,6,0.0017451,1.00E+00
254,6040/20&20@4,5,1.00E-12,1.00E-13,20,20,0.4,0.6,0.457425,0.542575,0.35,-3.19E-08,-4.47E-09,35.0015591,8,0.0015591,1.00E-01
1482,50%50%/100&10@5,5,1.00E-13,1.00E-13,100,10,0.5,0.5,0.489275,0.510725,0.35,-3.31E-08,-4.63E-09,35.0015517,8,0.0015517,1.00E+00
3479,91same/100&10@4,5,1.00E-13,1.00E-13,100,10,0.1,0.9,0.07315,0.92685,0.35,-1.66E-08,-2.33E-09,35.0008067,6,0.0008067,1.00E+00
1407,9010/50&10@6,5,1.00E-13,1.00E-12,50,10,0.1,0.9,0.096,0.904,0.35,-3.03E-08,-4.24E-09,35.0014227,8,0.0014227,1.00E+01
3410,91/100&1@5,5,1.00E-12,1.00E-13,100,1,0.1,0.9,0.0789,0.9211,0.35,-1.94E-08,-2.72E-09,35.0009962,6,0.0009962,1.00E-01
2184,90%10%/50&50@7,5,1.00E-13,1.00E-13,50,50,0.1,0.9,0.085575,0.914425,0.35,-3.14E-08,-4.40E-09,35.0014452,8,0.0014452,1.00E+00
2900,5050mg/20&10@5,5,1.00E-13,1.00E-12,20,10,0.5,0.5,0.4843,0.5157,0.35,-3.19E-08,-4.46E-09,35.001744,6,0.001744,1.00E+01
723,9010/50&1@3,5,1.00E-12,1.00E-13,50,1,0.1,0.9,0.09705,0.90295,0.35,-2.44E-08,-3.42E-09,35.001131,8,0.001131,1.00E-01
2907,5050mg/20&20@2,5,1.00E-13,1.00E-12,20,20,0.5,0.5,0.471,0.529,0.35,-3.18E-08,-4.45E-09,35.0017383,6,0.0017383,1.00E+01
969,6040/100&50@4,5,1.00E-13,1.00E-12,100,50,0.4,0.6,0.185275,0.814725,0.35,-3.16E-08,-4.42E-09,35.0015147,8,0.0015147,1.00E+01
496,8020/100&10@6,5,1.00E-12,1.00E-13,100,10,0.2,0.8,0.15425,0.84575,0.35,-1.78E-08,-2.49E-09,35.000842,8,0.000842,1.00E-01
950,6040/100&1@5,5,1.00E-13,1.00E-12,100,1,0.4,0.6,0.35415,0.64585,0.35,-3.17E-08,-4.44E-09,35.0015704,8,0.0015704,1.00E+01
805,5050/100&1@8,5,1.00E-13,1.00E-12,100,1,0.5,0.5,0.4323,0.5677,0.35,-3.19E-08,-4.47E-09,35.0015751,8,0.0015751,1.00E+01
1829,70%30%/20&1@2,5,1.00E-13,1.00E-13,20,1,0.3,0.7,0.3022,0.6978,0.35,-3.46E-08,-4.84E-09,35.0015666,8,0.0015666,1.00E+00
2177,90%10%/50&50@1,5,1.00E-13,1.00E-13,50,50,0.1,0.9,0.115675,0.884325,0.35,-2.96E-08,-4.14E-09,35.0011581,8,0.0011581,1.00E+00
1739,70%30%/1&1@2,5,1.00E-13,1.00E-13,1,1,0.3,0.7,0.29795,0.70205,0.35,-3.82E-08,-5.35E-09,35.0015767,8,0.0015767,1.00E+00
337,7030/100&100@7,5,1.00E-12,1.00E-13,100,100,0.3,0.7,0.30325,0.69675,0.35,-2.01E-08,-2.81E-09,35.0009574,8,0.0009574,1.00E-01
730,9010/50&20@1,5,1.00E-12,1.00E-13,50,20,0.1,0.9,0.089975,0.910025,0.35,-1.95E-08,-2.73E-09,35.0008837,8,0.0008837,1.00E-01
608,9010/1&1@8,5,1.00E-12,1.00E-13,1,1,0.1,0.9,0.1006,0.8994,0.35,-3.33E-08,-4.66E-09,35.0015546,8,0.0015546,1.00E-01
1148,7030/20&20@3,5,1.00E-13,1.00E-12,20,20,0.3,0.7,0.329275,0.670725,0.35,-3.17E-08,-4.44E-09,35.0015671,8,0.0015671,1.00E+01
2243,5050mg/50&10@2,5,1.00E-13,1.00E-12,50,10,0.5,0.5,0.49415,0.50585,0.35,-4.08E-08,-5.71E-09,35.0021926,4,0.0021926,1.00E+01
1713,60%40%/50&1@6,5,1.00E-13,1.00E-13,50,1,0.4,0.6,0.4062,0.5938,0.35,-3.20E-08,-4.48E-09,35.0015663,8,0.0015663,1.00E+00
3495,91same/100&50@5,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.190225,0.809775,0.35,-2.42E-08,-3.38E-09,35.0011806,6,0.0011806,1.00E+00
909,6040/10&10@4,5,1.00E-13,1.00E-12,10,10,0.4,0.6,0.419975,0.580025,0.35,-3.15E-08,-4.41E-09,35.0015755,8,0.0015755,1.00E+01
2632,73same/50&50@2,5,1.00E-13,1.00E-13,50,50,0.3,0.7,0.2783,0.7217,0.35,-4.20E-08,-5.88E-09,35.0020919,4,0.0020919,1.00E+00
2151,90%10%/50&10@4,5,1.00E-13,1.00E-13,50,10,0.1,0.9,0.119125,0.880875,0.35,-2.63E-08,-3.68E-09,35.0010743,8,0.0010743,1.00E+00
2010,80%20%/50&1@3,5,1.00E-13,1.00E-13,50,1,0.2,0.8,0.189075,0.810925,0.35,-3.22E-08,-4.51E-09,35.0015219,8,0.0015219,1.00E+00
2491,73mg/10&10@1,5,1.00E-13,1.00E-12,10,10,0.3,0.7,0.331975,0.668025,0.35,-4.13E-08,-5.78E-09,35.0022051,4,0.0022051,1.00E+01
3395,91/10&1@5,5,1.00E-12,1.00E-13,10,1,0.1,0.9,0.096125,0.903875,0.35,-3.02E-08,-4.23E-09,35.0015702,6,0.0015702,1.00E-01
1810,70%30%/100&50@3,5,1.00E-13,1.00E-13,100,50,0.3,0.7,0.231575,0.768425,0.35,-2.91E-08,-4.07E-09,35.0012945,8,0.0012945,1.00E+00
1994,80%20%/20&20@7,5,1.00E-13,1.00E-13,20,20,0.2,0.8,0.2052,0.7948,0.35,-3.20E-08,-4.48E-09,35.001547,8,0.001547,1.00E+00
719,9010/50&10@9,5,1.00E-12,1.00E-13,50,10,0.1,0.9,0.1091,0.8909,0.35,-1.76E-08,-2.46E-09,35.0008164,8,0.0008164,1.00E-01
2932,5050same/1&1@2,5,1.00E-13,1.00E-13,1,1,0.5,0.5,0.497625,0.502375,0.35,-3.39E-08,-4.75E-09,35.0017479,6,0.0017479,1.00E+00
2824,91same/100&50@4,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.144475,0.855525,0.35,-3.04E-08,-4.26E-09,35.0013761,4,0.0013761,1.00E+00
1569,50%50%/50&20@2,5,1.00E-13,1.00E-13,50,20,0.5,0.5,0.439325,0.560675,0.35,-3.18E-08,-4.45E-09,35.0015556,8,0.0015556,1.00E+00
2897,5050mg/20&10@2,5,1.00E-13,1.00E-12,20,10,0.5,0.5,0.49895,0.50105,0.35,-3.18E-08,-4.46E-09,35.0017424,6,0.0017424,1.00E+01
2942,5050same/10&1@2,5,1.00E-13,1.00E-13,10,1,0.5,0.5,0.5032,0.4968,0.35,-3.36E-08,-4.70E-09,35.0017455,6,0.0017455,1.00E+00
2275,5050same/10&1@4,5,1.00E-13,1.00E-13,10,1,0.5,0.5,0.505125,0.494875,0.35,-4.24E-08,-5.94E-09,35.0020146,4,0.0020146,1.00E+00
434,7030/50&20@4,5,1.00E-12,1.00E-13,50,20,0.3,0.7,0.368625,0.631375,0.35,-2.83E-08,-3.96E-09,35.0013496,8,0.0013496,1.00E-01
1299,8020/20&20@4,5,1.00E-13,1.00E-12,20,20,0.2,0.8,0.2149,0.7851,0.35,-3.27E-08,-4.58E-09,35.0015409,8,0.0015409,1.00E+01
2174,90%10%/50&20@7,5,1.00E-13,1.00E-13,50,20,0.1,0.9,0.083125,0.916875,0.35,-3.28E-08,-4.59E-09,35.0013574,8,0.0013574,1.00E+00
405,7030/20&20@5,5,1.00E-12,1.00E-13,20,20,0.3,0.7,0.25095,0.74905,0.35,-3.13E-08,-4.38E-09,35.0014909,8,0.0014909,1.00E-01
2823,91same/100&50@3,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.0794,0.9206,0.35,-2.57E-08,-3.60E-09,35.0011964,4,0.0011964,1.00E+00
821,5050/100&50@4,5,1.00E-13,1.00E-12,100,50,0.5,0.5,0.4463,0.5537,0.35,-3.17E-08,-4.44E-09,35.0015443,8,0.0015443,1.00E+01
2759,91/20&1@4,5,1.00E-12,1.00E-13,20,1,0.1,0.9,0.100825,0.899175,0.35,-3.71E-08,-5.19E-09,35.0017243,4,0.0017243,1.00E-01
1789,70%30%/100&1@2,5,1.00E-13,1.00E-13,100,1,0.3,0.7,0.291925,0.708075,0.35,-3.23E-08,-4.52E-09,35.0015449,8,0.0015449,1.00E+00
3412,91/100&20@2,5,1.00E-12,1.00E-13,100,20,0.1,0.9,0.091625,0.908375,0.35,-8.29E-09,-1.16E-09,35.0004361,6,0.0004361,1.00E-01
3108,73/100&1@3,5,1.00E-12,1.00E-13,100,1,0.3,0.7,0.29935,0.70065,0.35,-3.12E-08,-4.36E-09,35.0016674,6,0.0016674,1.00E-01
2351,55/10&1@5,5,1.00E-12,1.00E-13,10,1,0.5,0.5,0.49605,0.50395,0.35,-4.18E-08,-5.85E-09,35.0022172,4,0.0022172,1.00E-01
2315,5050same/20&20@4,5,1.00E-13,1.00E-13,20,20,0.5,0.5,0.501325,0.498675,0.35,-4.22E-08,-5.91E-09,35.0020093,4,0.0020093,1.00E+00
1858,70%30%/50&1@10,5,1.00E-13,1.00E-13,50,1,0.3,0.7,0.277975,0.722025,0.35,-3.34E-08,-4.68E-09,35.0015498,8,0.0015498,1.00E+00
1557,50%50%/50&1@1,5,1.00E-13,1.00E-13,50,1,0.5,0.5,0.52755,0.47245,0.35,-3.23E-08,-4.52E-09,35.0015696,8,0.0015696,1.00E+00
545,8020/20&1@5,5,1.00E-12,1.00E-13,20,1,0.2,0.8,0.189625,0.810375,0.35,-3.15E-08,-4.41E-09,35.0015189,8,0.0015189,1.00E-01
212,6040/100&20@2,5,1.00E-12,1.00E-13,100,20,0.4,0.6,0.467625,0.532375,0.35,-2.95E-08,-4.13E-09,35.0014227,8,0.0014227,1.00E-01
896,6040/1&1@10,5,1.00E-13,1.00E-12,1,1,0.4,0.6,0.3987,0.6013,0.35,-3.16E-08,-4.42E-09,35.0015788,8,0.0015788,1.00E+01
1941,80%20%/100&1@4,5,1.00E-13,1.00E-13,100,1,0.2,0.8,0.210325,0.789675,0.35,-3.36E-08,-4.70E-09,35.0015007,8,0.0015007,1.00E+00
1891,80%20%/1&1@4,5,1.00E-13,1.00E-13,1,1,0.2,0.8,0.2019,0.7981,0.35,-3.40E-08,-4.76E-09,35.0015741,8,0.0015741,1.00E+00
916,6040/10&1@10,5,1.00E-13,1.00E-12,10,1,0.4,0.6,0.3993,0.6007,0.35,-3.20E-08,-4.48E-09,35.0015774,8,0.0015774,1.00E+01
2723,91/10&1@3,5,1.00E-12,1.00E-13,10,1,0.1,0.9,0.110575,0.889425,0.35,-4.04E-08,-5.66E-09,35.0018394,4,0.0018394,1.00E-01
1289,8020/20&1@4,5,1.00E-13,1.00E-12,20,1,0.2,0.8,0.20615,0.79385,0.35,-3.18E-08,-4.45E-09,35.0015711,8,0.0015711,1.00E+01
814,5050/100&20@7,5,1.00E-13,1.00E-12,100,20,0.5,0.5,0.459275,0.540725,0.35,-3.16E-08,-4.42E-09,35.0015635,8,0.0015635,1.00E+01
1265,8020/100&50@1,5,1.00E-13,1.00E-12,100,50,0.2,0.8,0.216725,0.783275,0.35,-3.22E-08,-4.51E-09,35.0014971,8,0.0014971,1.00E+01
342,7030/100&10@2,5,1.00E-12,1.00E-13,100,10,0.3,0.7,0.316925,0.683075,0.35,-3.00E-08,-4.20E-09,35.0014251,8,0.0014251,1.00E-01
2597,73same/100&50@2,5,1.00E-13,1.00E-13,100,50,0.3,0.7,0.1728,0.8272,0.35,-3.39E-08,-4.75E-09,35.0017412,4,0.0017412,1.00E+00
1410,9010/50&10@9,5,1.00E-13,1.00E-12,50,10,0.1,0.9,0.1091,0.8909,0.35,-3.07E-08,-4.30E-09,35.0014545,8,0.0014545,1.00E+01
1214,8020/10&10@9,5,1.00E-13,1.00E-12,10,10,0.2,0.8,0.19025,0.80975,0.35,-3.21E-08,-4.49E-09,35.0015587,8,0.0015587,1.00E+01
966,6040/100&50@10,5,1.00E-13,1.00E-12,100,50,0.4,0.6,0.404375,0.595625,0.35,-3.16E-08,-4.42E-09,35.001542,8,0.001542,1.00E+01
1230,8020/100&100@5,5,1.00E-13,1.00E-12,100,100,0.2,0.8,0.1993,0.8007,0.35,-3.16E-08,-4.42E-09,35.0014842,8,0.0014842,1.00E+01
2343,55/10&10@2,5,1.00E-12,1.00E-13,10,10,0.5,0.5,0.50195,0.49805,0.35,-4.13E-08,-5.78E-09,35.0022153,4,0.0022153,1.00E-01
695,9010/20&1@5,5,1.00E-12,1.00E-13,20,1,0.1,0.9,0.0963,0.9037,0.35,-2.92E-08,-4.09E-09,35.001358,8,0.001358,1.00E-01
2121,90%10%/20&10@4,5,1.00E-13,1.00E-13,20,10,0.1,0.9,0.101475,0.898525,0.35,-2.92E-08,-4.09E-09,35.0013715,8,0.0013715,1.00E+00
605,9010/1&1@5,5,1.00E-12,1.00E-13,1,1,0.1,0.9,0.099475,0.900525,0.35,-3.20E-08,-4.48E-09,35.0015549,8,0.0015549,1.00E-01
104,50%50%/20&20@4,5,1.00E-12,1.00E-13,20,20,0.5,0.5,0.501325,0.498675,0.35,-3.17E-08,-4.44E-09,35.0015674,8,0.0015674,1.00E-01
645,9010/100&10@5,5,1.00E-12,1.00E-13,100,10,0.1,0.9,0.07745,0.92255,0.35,-9.27E-09,-1.30E-09,35.0004353,8,0.0004353,1.00E-01
