,Filename,Flowrate,SaPerm,MgPerm,MajorAnisotropy,MinAnisotropy,MagnesitePercentageInitial,SandPercentageInitial,MagnesitePercentageInitial.1,SandPercentageInitial.1,Porosity,OveralRate(mol/L/s),OveralRate(mol/s),AveragePorosity,pH,poriosity_change,kratio
1784,70%30%/100&10@7,5,1.00E-13,1.00E-13,100,10,0.3,0.7,0.267875,0.732125,0.35,-3.16E-08,-4.42E-09,35.0014196,8,0.0014196,1.00E+00
2741,91/100&20@1,5,1.00E-12,1.00E-13,100,20,0.1,0.9,0.061125,0.938875,0.35,-1.08E-08,-1.51E-09,35.0004934,4,0.0004934,1.00E-01
1991,80%20%/20&20@4,5,1.00E-13,1.00E-13,20,20,0.2,0.8,0.2149,0.7851,0.35,-3.19E-08,-4.47E-09,35.0015292,8,0.0015292,1.00E+00
3424,91/20&10@4,5,1.00E-12,1.00E-13,20,10,0.1,0.9,0.101475,0.898525,0.35,-2.38E-08,-3.33E-09,35.0012146,6,0.0012146,1.00E-01
262,6040/50&10@2,5,1.00E-12,1.00E-13,50,10,0.4,0.6,0.3948,0.6052,0.35,-3.15E-08,-4.41E-09,35.0015139,8,0.0015139,1.00E-01
1657,60%40%/100&50@1,5,1.00E-13,1.00E-13,100,50,0.4,0.6,0.409425,0.590575,0.35,-3.38E-08,-4.73E-09,35.0015316,8,0.0015316,1.00E+00
1195,8020/1&1@1,5,1.00E-13,1.00E-12,1,1,0.2,0.8,0.197175,0.802825,0.35,-3.18E-08,-4.45E-09,35.0015761,8,0.0015761,1.00E+01
935,6040/100&10@1,5,1.00E-13,1.00E-12,100,10,0.4,0.6,0.4334,0.5666,0.35,-3.16E-08,-4.42E-09,35.001561,8,0.001561,1.00E+01
191,6040/100&10@10,5,1.00E-12,1.00E-13,100,10,0.4,0.6,0.411725,0.588275,0.35,-2.92E-08,-4.09E-09,35.0014114,8,0.0014114,1.00E-01
2081,90%10%/100&10@4,5,1.00E-13,1.00E-13,100,10,0.1,0.9,0.07315,0.92685,0.35,-1.56E-08,-2.18E-09,35.0007239,8,0.0007239,1.00E+00
1905,80%20%/10&10@8,5,1.00E-13,1.00E-13,10,10,0.2,0.8,0.176625,0.823375,0.35,-3.34E-08,-4.68E-09,35.0015509,8,0.0015509,1.00E+00
1291,8020/20&1@6,5,1.00E-13,1.00E-12,20,1,0.2,0.8,0.201025,0.798975,0.35,-3.16E-08,-4.42E-09,35.0015701,8,0.0015701,1.00E+01
374,7030/100&50@4,5,1.00E-12,1.00E-13,100,50,0.3,0.7,0.35925,0.64075,0.35,-3.18E-08,-4.45E-09,35.0015017,8,0.0015017,1.00E-01
1279,8020/20&10@4,5,1.00E-13,1.00E-12,20,10,0.2,0.8,0.2271,0.7729,0.35,-3.18E-08,-4.45E-09,35.001554,8,0.001554,1.00E+01
1903,80%20%/10&10@6,5,1.00E-13,1.00E-13,10,10,0.2,0.8,0.207475,0.792525,0.35,-3.53E-08,-4.94E-09,35.001561,8,0.001561,1.00E+00
2744,91/100&20@4,5,1.00E-12,1.00E-13,100,20,0.1,0.9,0.04685,0.95315,0.35,-7.50E-09,-1.05E-09,35.0003478,4,0.0003478,1.00E-01
291,6040/50&50@10,5,1.00E-12,1.00E-13,50,50,0.4,0.6,0.329125,0.670875,0.35,-2.70E-08,-3.78E-09,35.0012959,8,0.0012959,1.00E-01
1759,70%30%/10&1@2,5,1.00E-13,1.00E-13,10,1,0.3,0.7,0.298025,0.701975,0.35,-3.53E-08,-4.94E-09,35.0015707,8,0.0015707,1.00E+00
616,9010/10&10@6,5,1.00E-12,1.00E-13,10,10,0.1,0.9,0.10035,0.89965,0.35,-2.96E-08,-4.14E-09,35.0013817,8,0.0013817,1.00E-01
2028,80%20%/50&50@10,5,1.00E-13,1.00E-13,50,50,0.2,0.8,0.20635,0.79365,0.35,-2.94E-08,-4.12E-09,35.0012569,8,0.0012569,1.00E+00
3152,73/50&50@2,5,1.00E-12,1.00E-13,50,50,0.3,0.7,0.2783,0.7217,0.35,-2.31E-08,-3.23E-09,35.0012283,6,0.0012283,1.00E-01
2426,73/10&1@5,5,1.00E-12,1.00E-13,10,1,0.3,0.7,0.291875,0.708125,0.35,-4.10E-08,-5.74E-09,35.002197,4,0.002197,1.00E-01
2646,90%10% mg/10&1@1,5,1.00E-13,1.00E-12,10,1,0.1,0.9,0.100225,0.899775,0.35,-4.12E-08,-5.77E-09,35.0019805,4,0.0019805,1.00E+01
1841,70%30%/20&20@4,5,1.00E-13,1.00E-13,20,20,0.3,0.7,0.3534,0.6466,0.35,-3.71E-08,-5.19E-09,35.0015539,8,0.0015539,1.00E+00
836,5050/20&10@9,5,1.00E-13,1.00E-12,20,10,0.5,0.5,0.487175,0.512825,0.35,-3.16E-08,-4.42E-09,35.0015708,8,0.0015708,1.00E+01
2970,5050same/100&50@5,5,1.00E-13,1.00E-13,100,50,0.5,0.5,0.472325,0.527675,0.35,-3.26E-08,-4.56E-09,35.0017154,6,0.0017154,1.00E+00
3507,91same/20&20@2,5,1.00E-13,1.00E-13,20,20,0.1,0.9,0.1018,0.8982,0.35,-3.64E-08,-5.09E-09,35.0016463,6,0.0016463,1.00E+00
1380,9010/20&10@4,5,1.00E-13,1.00E-12,20,10,0.1,0.9,0.101475,0.898525,0.35,-3.24E-08,-4.54E-09,35.0015116,8,0.0015116,1.00E+01
1769,70%30%/100&100@2,5,1.00E-13,1.00E-13,100,100,0.3,0.7,0.229625,0.770375,0.35,-3.05E-08,-4.27E-09,35.0013805,8,0.0013805,1.00E+00
3254,73same/100&10@4,5,1.00E-13,1.00E-13,100,10,0.3,0.7,0.337875,0.662125,0.35,-3.25E-08,-4.55E-09,35.0016373,6,0.0016373,1.00E+00
1391,9010/20&20@1,5,1.00E-13,1.00E-12,20,20,0.1,0.9,0.0966,0.9034,0.35,-3.19E-08,-4.47E-09,35.0015112,8,0.0015112,1.00E+01
1849,70%30%/50&10@2,5,1.00E-13,1.00E-13,50,10,0.3,0.7,0.3248,0.6752,0.35,-3.15E-08,-4.41E-09,35.0015234,8,0.0015234,1.00E+00
3020,55/10&1@5,5,1.00E-12,1.00E-13,10,1,0.5,0.5,0.49605,0.50395,0.35,-3.18E-08,-4.46E-09,35.0017428,6,0.0017428,1.00E-01
2015,80%20%/50&1@8,5,1.00E-13,1.00E-13,50,1,0.2,0.8,0.187,0.813,0.35,-3.18E-08,-4.45E-09,35.0015253,8,0.0015253,1.00E+00
1188,7030/50&50@3,5,1.00E-13,1.00E-12,50,50,0.3,0.7,0.21955,0.78045,0.35,-3.13E-08,-4.38E-09,35.0015192,8,0.0015192,1.00E+01
3373,90%10% mg/50&20@3,5,1.00E-13,1.00E-12,50,20,0.1,0.9,0.112725,0.887275,0.35,-3.17E-08,-4.44E-09,35.0016879,6,0.0016879,1.00E+01
2584,73same/100&10@4,5,1.00E-13,1.00E-13,100,10,0.3,0.7,0.337875,0.662125,0.35,-4.03E-08,-5.64E-09,35.002086,4,0.002086,1.00E+00
1511,50%50%/100&50@4,5,1.00E-13,1.00E-13,100,50,0.5,0.5,0.4463,0.5537,0.35,-3.17E-08,-4.44E-09,35.001531,8,0.001531,1.00E+00
832,5050/20&10@5,5,1.00E-13,1.00E-12,20,10,0.5,0.5,0.4843,0.5157,0.35,-3.15E-08,-4.41E-09,35.0015749,8,0.0015749,1.00E+01
179,6040/10&1@9,5,1.00E-12,1.00E-13,10,1,0.4,0.6,0.397875,0.602125,0.35,-3.22E-08,-4.51E-09,35.001569,8,0.001569,1.00E-01
1389,9010/20&1@8,5,1.00E-13,1.00E-12,20,1,0.1,0.9,0.1035,0.8965,0.35,-3.17E-08,-4.44E-09,35.0015585,8,0.0015585,1.00E+01
690,9010/20&1@1,5,1.00E-12,1.00E-13,20,1,0.1,0.9,0.100725,0.899275,0.35,-2.92E-08,-4.09E-09,35.0013479,8,0.0013479,1.00E-01
3058,55/20&20@3,5,1.00E-12,1.00E-13,20,20,0.5,0.5,0.5213,0.4787,0.35,-3.24E-08,-4.54E-09,35.0017351,6,0.0017351,1.00E-01
470,8020/10&1@1,5,1.00E-12,1.00E-13,10,1,0.2,0.8,0.194875,0.805125,0.35,-3.17E-08,-4.44E-09,35.0015467,8,0.0015467,1.00E-01
928,6040/100&100@3,5,1.00E-13,1.00E-12,100,100,0.4,0.6,0.286275,0.713725,0.35,-3.17E-08,-4.44E-09,35.0014998,8,0.0014998,1.00E+01
1688,60%40%/20&20@10,5,1.00E-13,1.00E-13,20,20,0.4,0.6,0.488425,0.511575,0.35,-3.22E-08,-4.51E-09,35.0015692,8,0.0015692,1.00E+00
704,9010/20&20@4,5,1.00E-12,1.00E-13,20,20,0.1,0.9,0.104475,0.895525,0.35,-2.37E-08,-3.32E-09,35.0010829,8,0.0010829,1.00E-01
2068,90%10%/100&100@10,5,1.00E-13,1.00E-13,100,100,0.1,0.9,0.06115,0.93885,0.35,-1.35E-08,-1.89E-09,35.0006197,8,0.0006197,1.00E+00
488,8020/100&100@8,5,1.00E-12,1.00E-13,100,100,0.2,0.8,0.069875,0.930125,0.35,-8.49E-09,-1.19E-09,35.0003963,8,0.0003963,1.00E-01
2163,90%10%/50&1@6,5,1.00E-13,1.00E-13,50,1,0.1,0.9,0.095525,0.904475,0.35,-3.02E-08,-4.23E-09,35.0014044,8,0.0014044,1.00E+00
602,9010/1&1@2,5,1.00E-12,1.00E-13,1,1,0.1,0.9,0.099125,0.900875,0.35,-3.35E-08,-4.69E-09,35.0015554,8,0.0015554,1.00E-01
2561,73same/1&1@1,5,1.00E-13,1.00E-13,1,1,0.3,0.7,0.296625,0.703375,0.35,-4.24E-08,-5.94E-09,35.0022126,4,0.0022126,1.00E+00
2109,90%10%/100&50@2,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.1148,0.8852,0.35,-1.91E-08,-2.67E-09,35.0008922,8,0.0008922,1.00E+00
1538,50%50%/20&20@10,5,1.00E-13,1.00E-13,20,20,0.5,0.5,0.476175,0.523825,0.35,-3.38E-08,-4.73E-09,35.0015708,8,0.0015708,1.00E+00
51,50%50%/100&1@10,5,1.00E-12,1.00E-13,100,1,0.5,0.5,0.473075,0.526925,0.35,-3.16E-08,-4.42E-09,35.001556,8,0.001556,1.00E-01
1261,8020/100&20@6,5,1.00E-13,1.00E-12,100,20,0.2,0.8,0.1832,0.8168,0.35,-2.98E-08,-4.17E-09,35.0014071,8,0.0014071,1.00E+01
2558,73mg/50&50@3,5,1.00E-13,1.00E-12,50,50,0.3,0.7,0.21955,0.78045,0.35,-4.05E-08,-5.67E-09,35.0021414,4,0.0021414,1.00E+01
2821,91same/100&50@1,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.095675,0.904325,0.35,-2.08E-08,-2.91E-09,35.0008998,4,0.0008998,1.00E+00
2927,5050mg/50&50@2,5,1.00E-13,1.00E-12,50,50,0.5,0.5,0.5923,0.4077,0.35,-3.18E-08,-4.45E-09,35.0017412,6,0.0017412,1.00E+01
1058,7030/10&10@3,5,1.00E-13,1.00E-12,10,10,0.3,0.7,0.321475,0.678525,0.35,-3.16E-08,-4.42E-09,35.0015721,8,0.0015721,1.00E+01
1141,7030/20&1@6,5,1.00E-13,1.00E-12,20,1,0.3,0.7,0.3038,0.6962,0.35,-3.16E-08,-4.42E-09,35.0015742,8,0.0015742,1.00E+01
63,50%50%/100&20@3,5,1.00E-12,1.00E-13,100,20,0.5,0.5,0.5252,0.4748,0.35,-3.16E-08,-4.42E-09,35.0015333,8,0.0015333,1.00E-01
769,5050/10&10@9,5,1.00E-13,1.00E-12,10,10,0.5,0.5,0.479575,0.520425,0.35,-3.20E-08,-4.48E-09,35.0015758,8,0.0015758,1.00E+01
2540,73mg/20&20@5,5,1.00E-13,1.00E-12,20,20,0.3,0.7,0.25095,0.74905,0.35,-4.09E-08,-5.73E-09,35.0021868,4,0.0021868,1.00E+01
2835,91same/20&1@5,5,1.00E-13,1.00E-13,20,1,0.1,0.9,0.0963,0.9037,0.35,-4.04E-08,-5.66E-09,35.0019182,4,0.0019182,1.00E+00
3208,73mg/20&20@3,5,1.00E-13,1.00E-12,20,20,0.3,0.7,0.329275,0.670725,0.35,-3.18E-08,-4.46E-09,35.0017361,6,0.0017361,1.00E+01
819,5050/100&50@2,5,1.00E-13,1.00E-12,100,50,0.5,0.5,0.4554,0.5446,0.35,-3.17E-08,-4.44E-09,35.0015436,8,0.0015436,1.00E+01
780,5050/100&100@10,5,1.00E-13,1.00E-12,100,100,0.5,0.5,0.502925,0.497075,0.35,-3.16E-08,-4.42E-09,35.0015673,8,0.0015673,1.00E+01
1491,50%50%/100&1@4,5,1.00E-13,1.00E-13,100,1,0.5,0.5,0.541175,0.458825,0.35,-3.25E-08,-4.55E-09,35.0015673,8,0.0015673,1.00E+00
2166,90%10%/50&1@9,5,1.00E-13,1.00E-13,50,1,0.1,0.9,0.0982,0.9018,0.35,-2.98E-08,-4.17E-09,35.0013822,8,0.0013822,1.00E+00
2996,5050same/50&20@1,5,1.00E-13,1.00E-13,50,20,0.5,0.5,0.552075,0.447925,0.35,-3.20E-08,-4.48E-09,35.0017241,6,0.0017241,1.00E+00
2947,5050same/100&100@2,5,1.00E-13,1.00E-13,100,100,0.5,0.5,0.566425,0.433575,0.35,-3.27E-08,-4.57E-09,35.0017296,6,0.0017296,1.00E+00
210,6040/100&20@1,5,1.00E-12,1.00E-13,100,20,0.4,0.6,0.3277,0.6723,0.35,-2.71E-08,-3.79E-09,35.001302,8,0.001302,1.00E-01
1558,50%50%/50&1@10,5,1.00E-13,1.00E-13,50,1,0.5,0.5,0.491475,0.508525,0.35,-3.31E-08,-4.63E-09,35.001569,8,0.001569,1.00E+00
752,5050/1&1@2,5,1.00E-13,1.00E-12,1,1,0.5,0.5,0.497625,0.502375,0.35,-3.20E-08,-4.48E-09,35.0015792,8,0.0015792,1.00E+01
2011,80%20%/50&1@4,5,1.00E-13,1.00E-13,50,1,0.2,0.8,0.215875,0.784125,0.35,-3.18E-08,-4.45E-09,35.0015332,8,0.0015332,1.00E+00
2730,91/100&100@5,5,1.00E-12,1.00E-13,100,100,0.1,0.9,0.194525,0.805475,0.35,-1.65E-08,-2.31E-09,35.0007794,4,0.0007794,1.00E-01
2882,5050mg/100&1@2,5,1.00E-13,1.00E-12,100,1,0.5,0.5,0.50875,0.49125,0.35,-3.18E-08,-4.45E-09,35.0017455,6,0.0017455,1.00E+01
3000,5050same/50&20@5,5,1.00E-13,1.00E-13,50,20,0.5,0.5,0.50685,0.49315,0.35,-3.28E-08,-4.60E-09,35.0017274,6,0.0017274,1.00E+00
1084,7030/100&100@9,5,1.00E-13,1.00E-12,100,100,0.3,0.7,0.25635,0.74365,0.35,-3.17E-08,-4.44E-09,35.001514,8,0.001514,1.00E+01
3162,73mg/10&10@2,5,1.00E-13,1.00E-12,10,10,0.3,0.7,0.2932,0.7068,0.35,-3.19E-08,-4.46E-09,35.0017399,6,0.0017399,1.00E+01
2167,90%10%/50&20@1,5,1.00E-13,1.00E-13,50,20,0.1,0.9,0.089975,0.910025,0.35,-2.85E-08,-3.99E-09,35.0012411,8,0.0012411,1.00E+00
2657,90%10% mg/100&10@2,5,1.00E-13,1.00E-12,100,10,0.1,0.9,0.1227,0.8773,0.35,-4.05E-08,-5.67E-09,35.001889,4,0.001889,1.00E+01
3403,91/100&10@3,5,1.00E-12,1.00E-13,100,10,0.1,0.9,0.064725,0.935275,0.35,-1.20E-08,-1.68E-09,35.0006136,6,0.0006136,1.00E-01
1223,8020/10&1@8,5,1.00E-13,1.00E-12,10,1,0.2,0.8,0.193525,0.806475,0.35,-3.18E-08,-4.45E-09,35.0015744,8,0.0015744,1.00E+01
716,9010/50&10@6,5,1.00E-12,1.00E-13,50,10,0.1,0.9,0.096,0.904,0.35,-1.72E-08,-2.41E-09,35.0007985,8,0.0007985,1.00E-01
1742,70%30%/1&1@5,5,1.00E-13,1.00E-13,1,1,0.3,0.7,0.298725,0.701275,0.35,-3.71E-08,-5.19E-09,35.0015763,8,0.0015763,1.00E+00
1414,9010/50&1@4,5,1.00E-13,1.00E-12,50,1,0.1,0.9,0.10065,0.89935,0.35,-3.16E-08,-4.42E-09,35.0015464,8,0.0015464,1.00E+01
2548,73mg/50&1@3,5,1.00E-13,1.00E-12,50,1,0.3,0.7,0.30005,0.69995,0.35,-4.08E-08,-5.71E-09,35.002207,4,0.002207,1.00E+01
339,7030/100&100@9,5,1.00E-12,1.00E-13,100,100,0.3,0.7,0.25635,0.74365,0.35,-1.26E-08,-1.76E-09,35.0006163,8,0.0006163,1.00E-01
735,9010/50&20@5,5,1.00E-12,1.00E-13,50,20,0.1,0.9,0.103025,0.896975,0.35,-1.16E-08,-1.62E-09,35.0005337,8,0.0005337,1.00E-01
1747,70%30%/10&10@1,5,1.00E-13,1.00E-13,10,10,0.3,0.7,0.331975,0.668025,0.35,-3.48E-08,-4.87E-09,35.001565,8,0.001565,1.00E+00
2617,73same/50&10@2,5,1.00E-13,1.00E-13,50,10,0.3,0.7,0.3248,0.6752,0.35,-4.20E-08,-5.88E-09,35.0021526,4,0.0021526,1.00E+00
550,8020/20&20@1,5,1.00E-12,1.00E-13,20,20,0.2,0.8,0.195525,0.804475,0.35,-2.94E-08,-4.12E-09,35.0013928,8,0.0013928,1.00E-01
517,8020/100&20@7,5,1.00E-12,1.00E-13,100,20,0.2,0.8,0.173625,0.826375,0.35,-1.39E-08,-1.95E-09,35.0006612,8,0.0006612,1.00E-01
2791,91same/10&10@1,5,1.00E-13,1.00E-13,10,10,0.1,0.9,0.100575,0.899425,0.35,-4.09E-08,-5.73E-09,35.0019309,4,0.0019309,1.00E+00
749,9010/50&50@9,5,1.00E-12,1.00E-13,50,50,0.1,0.9,0.100425,0.899575,0.35,-2.03E-08,-2.84E-09,35.0009298,8,0.0009298,1.00E-01
1276,8020/20&10@10,5,1.00E-13,1.00E-12,20,10,0.2,0.8,0.200775,0.799225,0.35,-3.18E-08,-4.45E-09,35.0015515,8,0.0015515,1.00E+01
2507,73mg/100&10@2,5,1.00E-13,1.00E-12,100,10,0.3,0.7,0.316925,0.683075,0.35,-4.09E-08,-5.73E-09,35.0021866,4,0.0021866,1.00E+01
2331,5050same/50&20@5,5,1.00E-13,1.00E-13,50,20,0.5,0.5,0.50685,0.49315,0.35,-4.41E-08,-6.17E-09,35.0019946,4,0.0019946,1.00E+00
2966,5050same/100&50@1,5,1.00E-13,1.00E-13,100,50,0.5,0.5,0.483725,0.516275,0.35,-3.22E-08,-4.51E-09,35.0017297,6,0.0017297,1.00E+00
2276,5050same/10&1@5,5,1.00E-13,1.00E-13,10,1,0.5,0.5,0.49605,0.50395,0.35,-4.33E-08,-6.06E-09,35.0020138,4,0.0020138,1.00E+00
1926,80%20%/100&100@9,5,1.00E-13,1.00E-13,100,100,0.2,0.8,0.039675,0.960325,0.35,-7.74E-09,-1.08E-09,35.0003557,8,0.0003557,1.00E+00
2526,73mg/20&10@1,5,1.00E-13,1.00E-12,20,10,0.3,0.7,0.3382,0.6618,0.35,-4.11E-08,-5.75E-09,35.0021952,4,0.0021952,1.00E+01
3175,73mg/100&100@5,5,1.00E-13,1.00E-12,100,100,0.3,0.7,0.232475,0.767525,0.35,-3.22E-08,-4.51E-09,35.001652,6,0.001652,1.00E+01
2366,55/100&1@5,5,1.00E-12,1.00E-13,100,1,0.5,0.5,0.4544,0.5456,0.35,-4.08E-08,-5.71E-09,35.0021674,4,0.0021674,1.00E-01
1298,8020/20&20@3,5,1.00E-13,1.00E-12,20,20,0.2,0.8,0.2469,0.7531,0.35,-3.18E-08,-4.45E-09,35.0015593,8,0.0015593,1.00E+01
842,5050/20&1@5,5,1.00E-13,1.00E-12,20,1,0.5,0.5,0.488225,0.511775,0.35,-3.19E-08,-4.47E-09,35.0015776,8,0.0015776,1.00E+01
1374,9010/100&20@8,5,1.00E-13,1.00E-12,100,20,0.1,0.9,0.06385,0.93615,0.35,-2.50E-08,-3.50E-09,35.0011512,8,0.0011512,1.00E+01
20,50%50%/10&1@1,5,1.00E-12,1.00E-13,10,1,0.5,0.5,0.505125,0.494875,0.35,-3.22E-08,-4.51E-09,35.0015739,8,0.0015739,1.00E-01
2268,5050same/10&10@2,5,1.00E-13,1.00E-13,10,10,0.5,0.5,0.50195,0.49805,0.35,-4.31E-08,-6.03E-09,35.0020135,4,0.0020135,1.00E+00
879,5050/50&20@4,5,1.00E-13,1.00E-12,50,20,0.5,0.5,0.50685,0.49315,0.35,-3.16E-08,-4.42E-09,35.0015693,8,0.0015693,1.00E+01
1180,7030/50&20@5,5,1.00E-13,1.00E-12,50,20,0.3,0.7,0.234875,0.765125,0.35,-3.19E-08,-4.47E-09,35.00154,8,0.00154,1.00E+01
3006,55/1&1@1,5,1.00E-12,1.00E-13,1,1,0.5,0.5,0.499725,0.500275,0.35,-3.32E-08,-4.65E-09,35.0017475,6,0.0017475,1.00E-01
2852,91same/50&50@2,5,1.00E-13,1.00E-13,50,50,0.1,0.9,0.1237,0.8763,0.35,-2.77E-08,-3.88E-09,35.0012888,4,0.0012888,1.00E+00
785,5050/100&100@7,5,1.00E-13,1.00E-12,100,100,0.5,0.5,0.318625,0.681375,0.35,-3.18E-08,-4.45E-09,35.0015197,8,0.0015197,1.00E+01
2566,73same/10&10@1,5,1.00E-13,1.00E-13,10,10,0.3,0.7,0.331975,0.668025,0.35,-4.23E-08,-5.92E-09,35.0022007,4,0.0022007,1.00E+00
863,5050/50&10@7,5,1.00E-13,1.00E-12,50,10,0.5,0.5,0.491925,0.508075,0.35,-3.16E-08,-4.42E-09,35.0015699,8,0.0015699,1.00E+01
3038,55/100&20@3,5,1.00E-12,1.00E-13,100,20,0.5,0.5,0.5252,0.4748,0.35,-3.17E-08,-4.44E-09,35.0017013,6,0.0017013,1.00E-01
3472,91same/100&100@2,5,1.00E-13,1.00E-13,100,100,0.1,0.9,0.16095,0.83905,0.35,-2.35E-08,-3.29E-09,35.0011435,6,0.0011435,1.00E+00
2502,73mg/100&100@2,5,1.00E-13,1.00E-12,100,100,0.3,0.7,0.229625,0.770375,0.35,-4.09E-08,-5.73E-09,35.0021378,4,0.0021378,1.00E+01
354,7030/100&1@4,5,1.00E-12,1.00E-13,100,1,0.3,0.7,0.3211,0.6789,0.35,-3.15E-08,-4.41E-09,35.0015183,8,0.0015183,1.00E-01
2928,5050mg/50&50@3,5,1.00E-13,1.00E-12,50,50,0.5,0.5,0.53355,0.46645,0.35,-3.17E-08,-4.44E-09,35.0017423,6,0.0017423,1.00E+01
3267,73same/100&50@2,5,1.00E-13,1.00E-13,100,50,0.3,0.7,0.1728,0.8272,0.35,-2.71E-08,-3.79E-09,35.0013671,6,0.0013671,1.00E+00
1724,60%40%/50&20@7,5,1.00E-13,1.00E-13,50,20,0.4,0.6,0.379475,0.620525,0.35,-3.45E-08,-4.83E-09,35.0015398,8,0.0015398,1.00E+00
2650,90%10% mg/10&1@5,5,1.00E-13,1.00E-12,10,1,0.1,0.9,0.096125,0.903875,0.35,-4.12E-08,-5.77E-09,35.001981,4,0.001981,1.00E+01
1252,8020/100&1@7,5,1.00E-13,1.00E-12,100,1,0.2,0.8,0.18315,0.81685,0.35,-3.17E-08,-4.44E-09,35.0015582,8,0.0015582,1.00E+01
1135,7030/20&1@1,5,1.00E-13,1.00E-12,20,1,0.3,0.7,0.29565,0.70435,0.35,-3.16E-08,-4.42E-09,35.001574,8,0.001574,1.00E+01
2917,5050mg/50&1@2,5,1.00E-13,1.00E-12,50,1,0.5,0.5,0.500975,0.499025,0.35,-3.19E-08,-4.47E-09,35.0017463,6,0.0017463,1.00E+01
1423,9010/50&20@6,5,1.00E-13,1.00E-12,50,20,0.1,0.9,0.104925,0.895075,0.35,-2.96E-08,-4.14E-09,35.0013867,8,0.0013867,1.00E+01
2385,55/20&1@4,5,1.00E-12,1.00E-13,20,1,0.5,0.5,0.52395,0.47605,0.35,-4.17E-08,-5.84E-09,35.0022151,4,0.0022151,1.00E-01
2039,90%10%/1&1@2,5,1.00E-13,1.00E-13,1,1,0.1,0.9,0.099125,0.900875,0.35,-3.75E-08,-5.25E-09,35.0015672,8,0.0015672,1.00E+00
2494,73mg/10&10@4,5,1.00E-13,1.00E-12,10,10,0.3,0.7,0.330825,0.669175,0.35,-4.14E-08,-5.80E-09,35.0022053,4,0.0022053,1.00E+01
729,9010/50&1@9,5,1.00E-12,1.00E-13,50,1,0.1,0.9,0.0982,0.9018,0.35,-2.53E-08,-3.54E-09,35.0011552,8,0.0011552,1.00E-01
2635,73same/50&50@5,5,1.00E-13,1.00E-13,50,50,0.3,0.7,0.233175,0.766825,0.35,-4.24E-08,-5.94E-09,35.0021296,4,0.0021296,1.00E+00
58,50%50%/100&1@8,5,1.00E-12,1.00E-13,100,1,0.5,0.5,0.4323,0.5677,0.35,-3.17E-08,-4.44E-09,35.0015539,8,0.0015539,1.00E-01
2112,90%10%/100&50@5,5,1.00E-13,1.00E-13,100,50,0.1,0.9,0.190225,0.809775,0.35,-2.28E-08,-3.19E-09,35.0010598,8,0.0010598,1.00E+00
2398,55/50&1@2,5,1.00E-12,1.00E-13,50,1,0.5,0.5,0.500975,0.499025,0.35,-4.12E-08,-5.77E-09,35.0022084,4,0.0022084,1.00E-01
2658,90%10% mg/100&10@3,5,1.00E-13,1.00E-12,100,10,0.1,0.9,0.064725,0.935275,0.35,-4.05E-08,-5.67E-09,35.0018661,4,0.0018661,1.00E+01
1642,60%40%/100&1@5,5,1.00E-13,1.00E-13,100,1,0.4,0.6,0.35415,0.64585,0.35,-3.29E-08,-4.61E-09,35.0015356,8,0.0015356,1.00E+00
2702,90%10% mg/50&20@2,5,1.00E-13,1.00E-12,50,20,0.1,0.9,0.107825,0.892175,0.35,-3.66E-08,-5.12E-09,35.0017093,4,0.0017093,1.00E+01
214,6040/100&20@4,5,1.00E-12,1.00E-13,100,20,0.4,0.6,0.337425,0.662575,0.35,-2.09E-08,-2.93E-09,35.001007,8,0.001007,1.00E-01
2399,55/50&1@3,5,1.00E-12,1.00E-13,50,1,0.5,0.5,0.4844,0.5156,0.35,-4.09E-08,-5.73E-09,35.0022067,4,0.0022067,1.00E-01
3359,90%10% mg/20&20@4,5,1.00E-13,1.00E-12,20,20,0.1,0.9,0.104475,0.895525,0.35,-3.26E-08,-4.56E-09,35.0016627,6,0.0016627,1.00E+01
2807,91same/100&10@2,5,1.00E-13,1.00E-13,100,10,0.1,0.9,0.1227,0.8773,0.35,-2.33E-08,-3.26E-09,35.0010816,4,0.0010816,1.00E+00
1958,80%20%/100&50@10,5,1.00E-13,1.00E-13,100,50,0.2,0.8,0.1838,0.8162,0.35,-2.37E-08,-3.32E-09,35.0010237,8,0.0010237,1.00E+00
2642,90%10% mg/10&10@2,5,1.00E-13,1.00E-12,10,10,0.1,0.9,0.103275,0.896725,0.35,-4.10E-08,-5.74E-09,35.0019586,4,0.0019586,1.00E+01
1242,8020/100&10@7,5,1.00E-13,1.00E-12,100,10,0.2,0.8,0.167375,0.832625,0.35,-3.17E-08,-4.44E-09,35.0015004,8,0.0015004,1.00E+01
1523,50%50%/20&10@6,5,1.00E-13,1.00E-13,20,10,0.5,0.5,0.511775,0.488225,0.35,-3.46E-08,-4.84E-09,35.0015721,8,0.0015721,1.00E+00
2371,55/100&20@5,5,1.00E-12,1.00E-13,100,20,0.5,0.5,0.55475,0.44525,0.35,-4.04E-08,-5.66E-09,35.0021399,4,0.0021399,1.00E-01
147,50%50%/50&50@7,5,1.00E-12,1.00E-13,50,50,0.5,0.5,0.524725,0.475275,0.35,-3.17E-08,-4.44E-09,35.001561,8,0.001561,1.00E-01
